1642585200000,41472.00000000,41590.00000000,41468.45000000,41533.48000000,81.93334000,1642585499999,3403722.09258680,2702,52.41731000,2177254.79075560,0
1642585500000,41533.49000000,41578.37000000,41495.12000000,41559.78000000,94.36323000,1642585799999,3919388.89367510,2934,48.70606000,2022901.63964520,0
1642585800000,41559.77000000,41600.00000000,41542.34000000,41597.96000000,53.90570000,1642586099999,2241130.65705120,2350,31.45050000,1307629.81557660,0
1642586100000,41595.28000000,41672.39000000,41556.70000000,41573.59000000,170.04052000,1642586399999,7075242.68962970,3953,97.05892000,4038407.04327280,0
1642586400000,41573.59000000,41616.52000000,41555.64000000,41572.19000000,63.26403000,1642586699999,2630398.23354650,2247,28.28881000,1176301.48105730,0
1642586700000,41572.19000000,41588.40000000,41519.99000000,41520.00000000,84.89376000,1642586999999,3527498.01577080,2309,20.01505000,831547.10211010,0
1642587000000,41520.01000000,41546.35000000,41438.09000000,41454.74000000,123.96978000,1642587299999,5142435.28407670,3014,53.58783000,2222906.17392570,0
1642587300000,41454.75000000,41516.79000000,41431.58000000,41494.80000000,86.46126000,1642587599999,3584761.01573000,2679,43.63420000,1809056.68388070,0
1642587600000,41494.80000000,41541.87000000,41490.00000000,41492.06000000,62.97376000,1642587899999,2614406.19563460,2166,23.82182000,989044.48033490,0
1642587900000,41492.06000000,41506.32000000,41440.01000000,41498.43000000,64.78897000,1642588199999,2686637.87098070,2293,32.65311000,1353941.14892670,0
1642588200000,41498.43000000,41526.00000000,41468.74000000,41521.69000000,70.58562000,1642588499999,2929492.84563830,2045,38.58530000,1601338.46508100,0
1642588500000,41521.68000000,41534.66000000,41470.94000000,41516.58000000,39.98073000,1642588799999,1659533.77325740,2512,23.75359000,985970.54418780,0
1642588800000,41516.58000000,41522.17000000,41300.00000000,41388.47000000,478.24245000,1642589099999,19799900.82018830,6009,263.07600000,10890914.22004570,0
1642589100000,41386.34000000,41445.78000000,41290.00000000,41431.69000000,141.03317000,1642589399999,5832886.33430570,4596,72.74214000,3008924.62639970,0
1642589400000,41431.69000000,41491.97000000,41389.32000000,41402.07000000,90.35636000,1642589699999,3744829.43823700,2956,46.66162000,1933954.30981700,0
1642589700000,41402.08000000,41509.07000000,41396.01000000,41505.53000000,42.29717000,1642589999999,1752638.86465820,2360,22.38117000,927482.13857490,0
1642590000000,41509.06000000,41667.69000000,41498.42000000,41616.29000000,198.12916000,1642590299999,8238649.36977980,4357,113.87856000,4735276.66748350,0
1642590300000,41616.28000000,41917.90000000,41616.28000000,41776.77000000,495.95634000,1642590599999,20721162.81969840,9868,265.37534000,11087346.89652120,0
1642590600000,41777.20000000,42158.00000000,41776.77000000,42061.04000000,507.35749000,1642590899999,21315085.36318790,11202,277.84898000,11670385.01691040,0
1642590900000,42061.03000000,42178.48000000,41955.72000000,42036.62000000,290.36729000,1642591199999,12206640.63949840,6387,157.68718000,6628167.47204150,0
1642591200000,42036.63000000,42036.63000000,41907.88000000,41945.00000000,123.33755000,1642591499999,5175190.43672240,3713,58.23224000,2443170.38022210,0
1642591500000,41942.92000000,41947.32000000,41841.94000000,41900.00000000,153.46081000,1642591799999,6429518.31229370,3882,69.24079000,2901151.94037370,0
1642591800000,41900.08000000,41978.94000000,41883.02000000,41883.76000000,77.18504000,1642592099999,3236864.94180190,3164,39.39708000,1652380.77464080,0
1642592100000,41883.75000000,41984.12000000,41860.17000000,41978.00000000,78.10841000,1642592399999,3274893.37519790,3034,38.85711000,1629282.89345900,0
1642592400000,41978.00000000,42074.39000000,41967.38000000,41990.00000000,94.39098000,1642592699999,3966055.75908980,2932,54.43486000,2286621.61236180,0
1642592700000,41990.01000000,42000.00000000,41934.51000000,41951.79000000,130.77128000,1642592999999,5489584.10385170,2704,54.23069000,2276422.33339800,0
1642593000000,41951.79000000,41970.65000000,41932.00000000,41938.94000000,58.38914000,1642593299999,2449144.12719080,2790,21.41783000,898388.21048400,0
1642593300000,41938.94000000,42048.54000000,41933.06000000,42033.00000000,75.72497000,1642593599999,3181026.09623180,2970,30.30528000,1272920.77274950,0
1642593600000,42033.00000000,42272.71000000,42029.36000000,42209.90000000,256.06403000,1642593899999,10794246.57863600,6749,142.63160000,6012291.84589990,0
1642593900000,42209.89000000,42264.47000000,42130.57000000,42134.66000000,165.16207000,1642594199999,6968129.46050090,4170,68.37623000,2885173.57409460,0
1642594200000,42134.66000000,42150.59000000,42053.83000000,42081.27000000,92.28624000,1642594499999,3885263.56296130,3521,42.76278000,1800281.05169380,0
1642594500000,42081.26000000,42130.00000000,42046.01000000,42054.86000000,91.56382000,1642594799999,3853509.47271880,3235,53.38209000,2246499.67256530,0
